word,part_of_speech,english_word,sense
fredag,noun,Friday,day of the week
mandag,noun,Monday,day of the week
måndag,noun,Monday,day of the week
laurdag,noun,Saturday,day of the week
sundag,noun,Sunday,day of the week
søndag,noun,Sunday,day of the week
tysdag,noun,Tuesday,day of the week
onsdag,noun,Wednesday,day of the week
"mekedag (i.e., ‘midtvekedag’)",noun,Wednesday,day of the week
mørkedag (Tinn in Telemark),noun,Wednesday,day of the week
verknad,noun,action,mathematics: type of mapping
aktivitet,noun,activity,state or quality of being active
aktivitet,noun,activity,something done as an action or a movement
aktivitet,noun,activity,something done for pleasure or entertainment
skodespelar,noun,actor,person who performs in a theatrical play or film — see also actress
skodespelarinne,noun,actor,person who performs in a theatrical play or film — see also actress
skodespelarinne,noun,actress,female actor — see also actor
adresse,noun,address,description of the location of a property; direction for correspondence
vaksen,noun,adult,fully grown human
råd,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
igjen,adv,again,another time
på ny,adv,again,another time
på nytt,adv,again,another time
tidsalder,noun,age,particular period of time in history
epoke,noun,age,particular period of time in history
luft,noun,air,historical: one of the basic elements
luft,noun,air,mixture of gases making up the atmosphere of the Earth
flyplass,noun,airport,place designated for airplanes
lufthamn,noun,airport,place designated for airplanes
dessutan,adv,also,in addition; besides; as well; further; too
også,adv,also,in addition; besides; as well; further; too
au,adv,also,in addition; besides; as well; further; too
òg,adv,also,in addition; besides; as well; further; too
dyr,noun,animal,organism
svar,noun,answer,response
husvære,noun,apartment,domicile occupying part of a building
leilegheit,noun,apartment,domicile occupying part of a building
eple,noun,apple,fruit of Malus domestica
flatevidd,noun,area,maths: measure of extent of a surface
areal,noun,area,maths: measure of extent of a surface
armlene,noun,arm,part of object
(of fjord) fjordarm,noun,arm,bay or inlet
kunstnar,noun,artist,person who creates art
artist,noun,artist,skilled person
spørje,verb,ask,request an answer
bort,adv,away,from a place; hence
unna,adv,away,at a distance in time or space
bort,adv,away,aside; off; in another direction
borte,adv,away,from a state or condition of being; out of existence
bort,adv,away,equivalent to an imperative: Go or come away; begone; take away
kjempebra,adj,awesome,"excellent, exciting"
spedbarn,noun,baby,very young human being
baby,noun,baby,very young human being
attende,adv,back,to or in a previous condition or place
tilbake,adv,back,to or in a previous condition or place
rygg,noun,back,the rear of body
bak,noun,back,the rear of body
bakside,noun,back,the reverse side
bakside,noun,back,that which is farthest away from the front
rygg,noun,back,"the backrest, the part of a piece of furniture which receives the human back — see also backrest"
ryggstø,noun,back,"the backrest, the part of a piece of furniture which receives the human back — see also backrest"
back,noun,back,a position behind most players on the team
veske,noun,bag,flexible container
ball,noun,ball,formal dance
ball,noun,ball,solid or hollow sphere
ball,noun,ball,"object, generally spherical, used for playing games"
bredd,noun,bank,edge of river or lake
breidd,noun,bank,edge of river or lake
bar,noun,bar,business licensed to sell intoxicating beverages
bar,noun,bar,nautical: sand formation
baseball,noun,baseball,ball game
korgball,noun,basketball,the sport
basketball,noun,basketball,the sport
strand,noun,beach,sandy shore
nydeleg,adj,beautiful,impressing with charm in an intellectual or moral way
eneståande,adj,beautiful,impressing with charm in an intellectual or moral way
verta,verb,become,to begin to be
